ID,Failed File,Count
000,630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,3
003,AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary_no_hints.dfy,5
004,AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring_no_hints.dfy,5
005,AssertivePrograming_tmp_tmpwf43uz0e_MergeSort_no_hints.dfy,5
006,BPTree-verif_tmp_tmpq1z6xm1d_Utils_no_hints.dfy,5
009,CS494-final-project_tmp_tmp7nof55uq_bubblesort_no_hints.dfy,5
010,CS5232_Project_tmp_tmpai_cfrng_LFUSimple_no_hints.dfy,5
011,CS5232_Project_tmp_tmpai_cfrng_test_no_hints.dfy,5
014,CVS-Projto1_tmp_tmpb1o0bu8z_Hoare_no_hints.dfy,4
016,CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1_no_hints.dfy,3
018,CVS-handout1_tmp_tmptm52no3k_1_no_hints.dfy,5
019,CVS-handout1_tmp_tmptm52no3k_2_no_hints.dfy,3
021,Clover_all_digits_no_hints.dfy,2
022,Clover_array_append_no_hints.dfy,1
023,Clover_array_concat_no_hints.dfy,2
024,Clover_array_copy_no_hints.dfy,3
025,Clover_array_product_no_hints.dfy,1
026,Clover_array_sum_no_hints.dfy,1
028,Clover_below_zero_no_hints.dfy,4
029,Clover_binary_search_no_hints.dfy,1
030,Clover_bubble_sort_no_hints.dfy,5
031,Clover_cal_ans_no_hints.dfy,1
032,Clover_cal_sum_no_hints.dfy,1
033,Clover_canyon_search_no_hints.dfy,5
036,Clover_copy_part_no_hints.dfy,4
037,Clover_count_lessthan_no_hints.dfy,5
038,Clover_double_array_elements_no_hints.dfy,2
040,Clover_even_list_no_hints.dfy,5
041,Clover_find_no_hints.dfy,2
042,Clover_has_close_elements_no_hints.dfy,2
043,Clover_insert_no_hints.dfy,5
044,Clover_integer_square_root_no_hints.dfy,2
046,Clover_is_palindrome_no_hints.dfy,4
047,Clover_linear_search1_no_hints.dfy,1
048,Clover_linear_search2_no_hints.dfy,1
049,Clover_linear_search3_no_hints.dfy,2
050,Clover_longest_prefix_no_hints.dfy,2
051,Clover_match_no_hints.dfy,1
052,Clover_max_array_no_hints.dfy,2
053,Clover_min_array_no_hints.dfy,2
057,Clover_online_max_no_hints.dfy,5
058,Clover_only_once_no_hints.dfy,5
059,Clover_quotient_no_hints.dfy,1
060,Clover_remove_front_no_hints.dfy,1
061,Clover_replace_no_hints.dfy,3
063,Clover_reverse_no_hints.dfy,2
064,Clover_rotate_no_hints.dfy,2
065,Clover_selectionsort_no_hints.dfy,3
067,Clover_set_to_seq_no_hints.dfy,3
068,Clover_slope_search_no_hints.dfy,4
079,Clover_two_sum_no_hints.dfy,2
082,Correctness_tmp_tmpwqvg5q_4_HoareLogic_exam_no_hints.dfy,5
083,Correctness_tmp_tmpwqvg5q_4_MethodCalls_q1_no_hints.dfy,5
084,Correctness_tmp_tmpwqvg5q_4_Sorting_Tangent_no_hints.dfy,4
085,Dafny-Exercises_tmp_tmpjm75muf__Session10Exercises_ExerciseBarrier_no_hints.dfy,3
086,Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseExp_no_hints.dfy,4
087,Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseFibonacci_no_hints.dfy,3
088,Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExercisePositive_no_hints.dfy,3
089,Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseSquare_root_no_hints.dfy,4
090,Dafny-Exercises_tmp_tmpjm75muf__Session3Exercises_ExerciseMaximum_no_hints.dfy,2
091,Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseAllEqual_no_hints.dfy,5
092,Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseContained_no_hints.dfy,5
093,Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseFirstNegative_no_hints.dfy,4
094,Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExercisefirstZero_no_hints.dfy,2
095,Dafny-Exercises_tmp_tmpjm75muf__Session5Exercises_ExerciseSumElems_no_hints.dfy,5
096,Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountEven_no_hints.dfy,2
097,Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountMin_no_hints.dfy,2
098,Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExercisePeekSum_no_hints.dfy,5
099,Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBinarySearch_no_hints.dfy,4
100,Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBubbleSort_no_hints.dfy,5
101,Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseReplace_no_hints.dfy,3
102,Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseSelSort_no_hints.dfy,5
103,Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseSeparate_no_hints.dfy,2
104,Dafny-Exercises_tmp_tmpjm75muf__Session8Exercises_ExerciseInsertionSort_no_hints.dfy,5
105,Dafny-Exercises_tmp_tmpjm75muf__Session9Exercises_ExerciseSeqMaxSum_no_hints.dfy,5
106,Dafny-Grind75_tmp_tmpsxfz3i4r_problems_twoSum_no_hints.dfy,4
107,Dafny-Practice_tmp_tmphnmt4ovh_BST_no_hints.dfy,5
108,Dafny-Practice_tmp_tmphnmt4ovh_Pattern Matching_no_hints.dfy,5
109,Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_no_hints.dfy,3
110,Dafny-VMC_tmp_tmpzgqv0i1u_src_Math_Exponential_no_hints.dfy,3
111,Dafny-VMC_tmp_tmpzgqv0i1u_src_Math_Helper_no_hints.dfy,5
112,Dafny-demo_tmp_tmpkgr_dvdi_Dafny_BinarySearch_no_hints.dfy,1
113,Dafny-experiences_tmp_tmp150sm9qy_dafny_started_tutorial_dafny_tutorial_array_no_hints.dfy,2
114,Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,5
115,DafnyExercises_tmp_tmpd6qyevja_Part1_Q1_no_hints.dfy,2
117,DafnyPrograms_tmp_tmp74_f9k_c_automaton_no_hints.dfy,5
118,DafnyPrograms_tmp_tmp74_f9k_c_invertarray_no_hints.dfy,3
119,DafnyPrograms_tmp_tmp74_f9k_c_map-multiset-implementation_no_hints.dfy,5
120,DafnyPrograms_tmp_tmp74_f9k_c_prime-database_no_hints.dfy,3
121,DafnyProjects_tmp_tmp2acw_s4s_CombNK_no_hints.dfy,5
124,DafnyProjects_tmp_tmp2acw_s4s_RawSort_no_hints.dfy,4
125,DafnyProjects_tmp_tmp2acw_s4s_findMax_no_hints.dfy,2
126,DafnyProjects_tmp_tmp2acw_s4s_longestPrefix_no_hints.dfy,2
127,DafnyProjects_tmp_tmp2acw_s4s_partitionOddEven_no_hints.dfy,2
128,DafnyProjects_tmp_tmp2acw_s4s_sqrt_no_hints.dfy,5
129,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_A2_Q1_trimmed copy - 副本_no_hints.dfy,5
131,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_Week4__LinearSearch_no_hints.dfy,1
132,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_week4_tute_ex4_no_hints.dfy,5
133,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_week5_ComputePower_no_hints.dfy,2
134,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3 copy 2_no_hints.dfy,5
135,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3_search_findPositionOfIndex_no_hints.dfy,2
137,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week10_ExtensibleArray_no_hints.dfy,5
138,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week8_CheckSumCalculator_no_hints.dfy,5
142,Dafny_Programs_tmp_tmp99966ew4_binary_search_no_hints.dfy,1
143,Dafny_Programs_tmp_tmp99966ew4_lemma_no_hints.dfy,5
145,Dafny_Programs_tmp_tmp99966ew4_trig_no_hints.dfy,1
146,Dafny_Verify_tmp_tmphq7j0row_AI_agent_validation_examples_no_hints.dfy,5
147,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_ComputePower_no_hints.dfy,3
148,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_CopyMatrix_no_hints.dfy,5
149,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_Cube_no_hints.dfy,2
150,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_DoubleArray_no_hints.dfy,3
151,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_IncrementMatrix_no_hints.dfy,4
152,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_RotateRight_no_hints.dfy,4
