Failed File,Count
630-dafny_tmp_tmpz2kokaiq_Solution_no_hints.dfy,3
AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary_no_hints.dfy,5
AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring_no_hints.dfy,5
AssertivePrograming_tmp_tmpwf43uz0e_MergeSort_no_hints.dfy,5
BPTree-verif_tmp_tmpq1z6xm1d_Utils_no_hints.dfy,5
CS494-final-project_tmp_tmp7nof55uq_bubblesort_no_hints.dfy,5
CS5232_Project_tmp_tmpai_cfrng_LFUSimple_no_hints.dfy,5
CS5232_Project_tmp_tmpai_cfrng_test_no_hints.dfy,5
CVS-Projto1_tmp_tmpb1o0bu8z_Hoare_no_hints.dfy,4
CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1_no_hints.dfy,3
CVS-handout1_tmp_tmptm52no3k_1_no_hints.dfy,5
CVS-handout1_tmp_tmptm52no3k_2_no_hints.dfy,3
Clover_all_digits_no_hints.dfy,2
Clover_array_append_no_hints.dfy,1
Clover_array_concat_no_hints.dfy,2
Clover_array_copy_no_hints.dfy,3
Clover_array_product_no_hints.dfy,1
Clover_array_sum_no_hints.dfy,1
Clover_below_zero_no_hints.dfy,4
Clover_binary_search_no_hints.dfy,1
Clover_bubble_sort_no_hints.dfy,5
Clover_cal_ans_no_hints.dfy,1
Clover_cal_sum_no_hints.dfy,1
Clover_canyon_search_no_hints.dfy,5
Clover_copy_part_no_hints.dfy,4
Clover_count_lessthan_no_hints.dfy,5
Clover_double_array_elements_no_hints.dfy,2
Clover_even_list_no_hints.dfy,5
Clover_find_no_hints.dfy,2
Clover_has_close_elements_no_hints.dfy,2
Clover_insert_no_hints.dfy,5
Clover_integer_square_root_no_hints.dfy,2
Clover_is_palindrome_no_hints.dfy,4
Clover_linear_search1_no_hints.dfy,1
Clover_linear_search2_no_hints.dfy,1
Clover_linear_search3_no_hints.dfy,2
Clover_longest_prefix_no_hints.dfy,2
Clover_match_no_hints.dfy,1
Clover_max_array_no_hints.dfy,2
Clover_min_array_no_hints.dfy,2
Clover_online_max_no_hints.dfy,5
Clover_only_once_no_hints.dfy,5
Clover_quotient_no_hints.dfy,1
Clover_remove_front_no_hints.dfy,1
Clover_replace_no_hints.dfy,3
